Person_Age,Person_Income,Person_Home_Ownership,Person_Emp_Length,Loan_Intent,Loan_Grade,Loan_Amnt,Loan_Int_Rate,Loan_Status,Loan_Percent_Income,Cb_Person_Default_On_File,Cb_Person_Cred_Hist_Length
24,67746.0,RENT,8,HOMEIMPROVEMENT,C,29800.0,12.68,1,0.49,0,3
21,11000.0,MORTGAGE,3,VENTURE,E,4575.0,17.74,1,0.42,1,3
23,11000.0,OWN,0,PERSONAL,A,1400.0,9.32,0,0.13,0,3
24,65000.0,RENT,6,HOMEIMPROVEMENT,B,29800.0,9.99,1,0.5,0,3
21,11389.0,OTHER,5,EDUCATION,C,4000.0,12.84,1,0.35,1,2
21,11520.0,OWN,5,MEDICAL,B,2000.0,11.12,1,0.17,0,3
25,120000.0,RENT,2,VENTURE,A,29800.0,6.62,0,0.27,0,2
26,95000.0,RENT,7,HOMEIMPROVEMENT,C,29800.0,14.17,1,0.33,1,3
25,225000.0,RENT,2,DEBTCONSOLIDATION,C,24250.0,13.85,0,0.08,0,3
26,225000.0,MORTGAGE,10,MEDICAL,C,7800.0,13.49,0,0.03,0,4
21,12000.0,OWN,5,EDUCATION,A,2500.0,7.51,1,0.21,0,4
22,48000.0,RENT,1,EDUCATION,E,29800.0,18.39,1,0.63,0,2
24,64000.0,RENT,8,DEBTCONSOLIDATION,D,29800.0,14.54,1,0.47,1,3
25,75000.0,RENT,4,HOMEIMPROVEMENT,D,29800.0,16.89,1,0.4,1,4
23,71500.0,RENT,3,DEBTCONSOLIDATION,D,29800.0,15.31,1,0.42,0,4
26,62050.0,RENT,6,MEDICAL,E,29800.0,17.99,1,0.41,0,2
24,12000.0,OWN,4,VENTURE,B,2500.0,12.69,1,0.21,0,3
26,225000.0,MORTGAGE,10,VENTURE,A,20000.0,7.88,0,0.07,0,4
23,225000.0,OWN,1,EDUCATION,F,24250.0,19.41,0,0.08,1,2
26,225000.0,OWN,9,HOMEIMPROVEMENT,B,10000.0,10.38,0,0.03,0,4
26,225000.0,MORTGAGE,0,EDUCATION,D,25000.0,15.33,0,0.08,0,3
25,225000.0,MORTGAGE,9,HOMEIMPROVEMENT,E,18000.0,16.45,0,0.06,0,3
26,80690.0,RENT,8,PERSONAL,A,29800.0,7.49,1,0.37,0,3
22,66300.0,RENT,4,MEDICAL,B,29800.0,12.69,1,0.38,0,3
26,89028.0,RENT,0,DEBTCONSOLIDATION,A,29800.0,6.62,1,0.34,0,3
24,78000.0,RENT,4,DEBTCONSOLIDATION,D,29800.0,15.31,1,0.38,1,4
23,78000.0,RENT,7,DEBTCONSOLIDATION,F,29800.0,18.62,1,0.38,1,3
23,92004.0,RENT,6,PERSONAL,C,29800.0,15.23,1,0.33,1,3
23,97000.0,RENT,7,VENTURE,B,29800.0,10.65,1,0.31,0,2
25,120000.0,RENT,9,EDUCATION,A,29800.0,7.9,0,0.25,0,4
26,225000.0,RENT,4,PERSONAL,C,10000.0,15.96,0,0.04,1,3
26,225000.0,RENT,0,VENTURE,B,20000.0,11.48,0,0.07,0,3
23,225000.0,OWN,3,PERSONAL,A,29800.0,7.49,0,0.13,0,4
25,128000.0,RENT,9,PERSONAL,A,29800.0,7.29,0,0.23,0,4
24,12000.0,OWN,2,VENTURE,E,1750.0,16.82,0,0.15,1,3
21,131000.0,RENT,0,VENTURE,A,29800.0,5.99,0,0.23,0,4
22,225000.0,OWN,6,VENTURE,B,12000.0,11.58,0,0.04,0,2
26,225000.0,MORTGAGE,0,EDUCATION,B,10000.0,10.99,1,0.04,0,4
25,221850.0,MORTGAGE,9,MEDICAL,D,25000.0,15.7,1,0.1,0,2
22,70000.0,RENT,6,EDUCATION,D,29100.0,15.99,1,0.42,0,3
22,12000.0,MORTGAGE,7,EDUCATION,D,1500.0,14.84,0,0.13,1,3
26,225000.0,OWN,10,HOMEIMPROVEMENT,B,28000.0,10.99,0,0.11,0,3
25,225000.0,MORTGAGE,9,HOMEIMPROVEMENT,D,20000.0,14.42,0,0.08,1,2
24,225000.0,MORTGAGE,9,EDUCATION,A,9600.0,6.99,0,0.04,0,2
25,225000.0,RENT,2,MEDICAL,C,25000.0,13.49,0,0.1,0,4
25,12000.0,OWN,0,MEDICAL,C,3000.0,13.48,1,0.25,0,3
22,56950.0,RENT,6,MEDICAL,A,28000.0,7.49,1,0.49,0,2
21,12000.0,OWN,6,EDUCATION,C,3000.0,13.61,1,0.25,1,3
23,65000.0,RENT,2,EDUCATION,A,28000.0,7.9,1,0.43,0,2
26,85000.0,RENT,2,VENTURE,A,28000.0,7.49,1,0.33,0,3
26,12000.0,OWN,2,EDUCATION,A,6100.0,7.51,1,0.51,0,3
22,88000.0,RENT,6,VENTURE,B,28000.0,9.91,1,0.32,0,3
21,12000.0,OWN,0,PERSONAL,C,4200.0,13.48,1,0.35,1,4
22,12000.0,OWN,6,DEBTCONSOLIDATION,A,4750.0,7.14,1,0.4,0,2
24,83004.0,RENT,0,VENTURE,D,28000.0,15.99,1,0.34,1,4
24,225000.0,RENT,2,EDUCATION,C,18000.0,12.98,0,0.07,1,3
25,100000.0,RENT,5,DEBTCONSOLIDATION,B,28000.0,12.69,0,0.28,0,3
26,110000.0,RENT,10,EDUCATION,A,28000.0,8.9,0,0.25,0,2
26,12000.0,OWN,0,DEBTCONSOLIDATION,A,2700.0,7.49,1,0.23,0,4
22,108000.0,RENT,6,EDUCATION,B,28000.0,10.99,1,0.26,0,4
23,151200.0,RENT,7,DEBTCONSOLIDATION,B,28000.0,11.11,0,0.19,0,2
24,69000.0,RENT,2,HOMEIMPROVEMENT,A,27600.0,7.49,1,0.4,0,2
21,12000.0,MORTGAGE,5,DEBTCONSOLIDATION,E,3250.0,15.68,1,0.27,1,3
22,70000.0,RENT,4,EDUCATION,C,27500.0,13.06,1,0.39,1,3
22,225000.0,OWN,6,PERSONAL,B,25000.0,10.99,0,0.1,0,2
26,73200.0,RENT,5,VENTURE,D,27050.0,15.62,1,0.37,1,2
24,83000.0,RENT,5,PERSONAL,C,27000.0,13.49,1,0.33,1,2
24,73399.0,RENT,0,VENTURE,D,27000.0,15.31,1,0.37,0,3
23,62500.0,RENT,7,MEDICAL,B,26000.0,11.71,1,0.42,0,2
23,120000.0,RENT,1,EDUCATION,B,25600.0,12.69,0,0.21,0,3
24,12360.0,OWN,2,MEDICAL,C,1600.0,13.57,0,0.13,0,3
22,60000.0,RENT,0,VENTURE,B,25475.0,10.99,1,0.42,0,3
25,225000.0,MORTGAGE,3,MEDICAL,C,20000.0,14.27,0,0.09,1,4
24,225000.0,OWN,8,HOMEIMPROVEMENT,B,20000.0,8.88,0,0.09,0,4
26,225000.0,MORTGAGE,10,HOMEIMPROVEMENT,B,21600.0,12.18,0,0.09,0,3
25,221004.0,MORTGAGE,6,DEBTCONSOLIDATION,D,11900.0,14.42,1,0.05,1,3
26,225000.0,MORTGAGE,0,MEDICAL,C,25000.0,14.17,0,0.11,1,2
25,225000.0,MORTGAGE,5,MEDICAL,C,29800.0,13.99,0,0.15,0,4
23,83000.0,RENT,7,EDUCATION,B,25300.0,10.99,1,0.3,0,3
22,12600.0,MORTGAGE,4,PERSONAL,A,2000.0,5.42,1,0.16,0,4
25,12600.0,OWN,3,PERSONAL,C,1750.0,13.61,0,0.14,0,3
21,42500.0,RENT,3,EDUCATION,C,25000.0,12.73,1,0.59,1,3
24,41000.0,RENT,2,HOMEIMPROVEMENT,D,25000.0,15.31,1,0.61,0,3
25,12816.0,OWN,0,DEBTCONSOLIDATION,C,3000.0,12.87,1,0.23,1,4
24,12960.0,MORTGAGE,1,HOMEIMPROVEMENT,B,3650.0,9.91,1,0.28,0,3
26,225000.0,MORTGAGE,4,HOMEIMPROVEMENT,B,20000.0,11.49,0,0.09,0,4
25,225000.0,MORTGAGE,0,HOMEIMPROVEMENT,E,29800.0,19.91,0,0.13,1,2
26,213000.0,MORTGAGE,6,EDUCATION,B,29800.0,10.65,1,0.16,0,2
24,225000.0,RENT,0,MEDICAL,B,6000.0,10.99,0,0.03,0,4
24,12960.0,MORTGAGE,0,DEBTCONSOLIDATION,B,4500.0,11.83,1,0.35,0,4
23,12996.0,OWN,0,DEBTCONSOLIDATION,C,2400.0,13.49,1,0.18,1,2
22,42000.0,RENT,6,MEDICAL,D,25000.0,14.59,1,0.6,1,2
26,48000.0,RENT,2,EDUCATION,B,25000.0,9.64,1,0.52,0,4
25,12996.0,OWN,1,MEDICAL,D,3600.0,14.59,1,0.28,0,3
22,12996.0,OWN,1,EDUCATION,B,4750.0,10.99,1,0.37,0,3
25,42360.0,RENT,1,EDUCATION,E,25000.0,16.35,1,0.59,1,3
21,49000.0,RENT,4,EDUCATION,B,25000.0,10.99,1,0.51,0,2
25,225000.0,MORTGAGE,0,VENTURE,F,25000.0,18.67,0,0.11,0,2
26,225000.0,RENT,1,EDUCATION,A,3000.0,9.32,0,0.01,0,4
23,225000.0,RENT,8,DEBTCONSOLIDATION,A,7500.0,8.63,0,0.03,0,2
26,225000.0,MORTGAGE,2,VENTURE,B,25000.0,10.08,0,0.11,0,2
22,49464.0,RENT,5,PERSONAL,B,25000.0,11.83,1,0.51,0,3
23,50000.0,RENT,1,DEBTCONSOLIDATION,A,25000.0,7.9,1,0.5,0,3
25,50000.0,RENT,4,HOMEIMPROVEMENT,A,25000.0,5.99,1,0.5,0,2
24,44000.0,RENT,2,DEBTCONSOLIDATION,D,25000.0,15.33,1,0.57,0,2
23,50000.0,RENT,1,VENTURE,B,25000.0,11.83,1,0.5,0,4
22,50004.0,RENT,0,VENTURE,B,25000.0,10.36,1,0.5,0,2
22,50004.0,RENT,3,VENTURE,C,25000.0,12.23,1,0.5,0,3
22,52000.0,RENT,2,EDUCATION,B,25000.0,11.11,1,0.48,0,4
23,13200.0,OWN,3,DEBTCONSOLIDATION,A,4950.0,7.9,1,0.38,0,4
24,220000.0,MORTGAGE,1,EDUCATION,B,25000.0,11.58,0,0.11,0,2
23,216000.0,MORTGAGE,5,DEBTCONSOLIDATION,A,21000.0,8.9,0,0.1,0,3
25,216000.0,MORTGAGE,2,EDUCATION,D,25000.0,16.07,0,0.12,0,3
26,216000.0,MORTGAGE,10,EDUCATION,C,20000.0,14.22,0,0.09,1,2
23,215000.0,MORTGAGE,7,MEDICAL,C,29800.0,14.79,0,0.16,1,3
26,215000.0,MORTGAGE,11,EDUCATION,A,12000.0,7.88,0,0.06,0,2
23,52000.0,RENT,1,PERSONAL,C,25000.0,13.22,1,0.48,0,2
26,46000.0,RENT,2,DEBTCONSOLIDATION,D,25000.0,11.86,1,0.54,0,4
22,53000.0,RENT,5,EDUCATION,C,25000.0,13.43,1,0.47,1,4
26,47000.0,RENT,0,HOMEIMPROVEMENT,D,25000.0,15.28,1,0.53,1,2
23,47000.0,RENT,1,VENTURE,E,25000.0,17.93,1,0.53,0,2
23,13200.0,MORTGAGE,2,EDUCATION,B,1400.0,9.25,0,0.11,0,4
21,13200.0,OWN,0,VENTURE,C,4500.0,12.98,1,0.34,0,4
22,210000.0,MORTGAGE,6,VENTURE,B,16000.0,10.62,0,0.08,0,4
26,210000.0,OWN,10,PERSONAL,B,22000.0,11.83,0,0.1,0,4
26,48000.0,RENT,5,VENTURE,F,25000.0,18.43,1,0.52,0,2
22,54996.0,RENT,6,EDUCATION,B,25000.0,10.99,1,0.45,0,4
24,55000.0,RENT,4,HOMEIMPROVEMENT,D,25000.0,15.31,1,0.45,1,4
23,55000.0,RENT,4,EDUCATION,B,25000.0,11.36,1,0.45,0,3
23,55000.0,RENT,4,EDUCATION,D,25000.0,15.65,1,0.45,1,3
24,55164.0,RENT,8,PERSONAL,C,25000.0,13.22,1,0.45,1,4
26,56000.0,RENT,4,DEBTCONSOLIDATION,C,25000.0,12.87,1,0.45,0,2
24,203500.0,OWN,8,MEDICAL,C,20000.0,13.04,0,0.1,0,3
23,190000.0,MORTGAGE,5,EDUCATION,F,22000.0,17.58,1,0.12,1,3
23,13920.0,OWN,2,PERSONAL,E,7750.0,17.04,1,0.56,0,4
24,60000.0,RENT,0,PERSONAL,B,25000.0,10.99,1,0.42,0,3
24,60000.0,RENT,2,PERSONAL,B,25000.0,11.11,1,0.42,0,3
26,54000.0,RENT,7,DEBTCONSOLIDATION,D,25000.0,14.83,1,0.46,1,2
23,14000.0,OWN,2,DEBTCONSOLIDATION,D,4000.0,15.31,1,0.29,0,3
24,200000.0,RENT,8,MEDICAL,B,12000.0,12.69,0,0.06,0,2
24,200000.0,MORTGAGE,8,HOMEIMPROVEMENT,C,12000.0,13.49,0,0.06,0,2
21,200000.0,MORTGAGE,5,EDUCATION,C,16000.0,14.65,0,0.08,0,4
25,54000.0,RENT,3,HOMEIMPROVEMENT,E,25000.0,16.82,1,0.46,0,4
23,60000.0,RENT,3,PERSONAL,C,25000.0,12.73,1,0.42,0,3
23,60000.0,RENT,7,PERSONAL,B,25000.0,10.25,1,0.42,0,4
21,60000.0,RENT,6,EDUCATION,B,25000.0,10.99,1,0.42,0,4
25,61959.0,RENT,9,MEDICAL,C,25000.0,12.73,1,0.4,0,2
22,56400.0,RENT,2,HOMEIMPROVEMENT,D,25000.0,14.96,1,0.44,1,3
23,200000.0,MORTGAGE,7,EDUCATION,A,28000.0,7.49,0,0.14,0,2
21,200000.0,MORTGAGE,2,DEBTCONSOLIDATION,C,25000.0,13.99,0,0.13,0,2
24,200000.0,MORTGAGE,3,VENTURE,A,24000.0,7.49,0,0.12,0,4
26,200000.0,MORTGAGE,4,EDUCATION,C,15000.0,14.79,0,0.07,0,3
25,200000.0,MORTGAGE,2,DEBTCONSOLIDATION,B,15500.0,11.99,0,0.08,0,2
24,200000.0,RENT,8,EDUCATION,A,10000.0,8.49,0,0.05,0,4
24,66000.0,RENT,3,EDUCATION,B,25000.0,9.91,1,0.38,0,2
22,66000.0,RENT,6,EDUCATION,C,25000.0,13.06,1,0.38,1,3
22,200000.0,MORTGAGE,6,DEBTCONSOLIDATION,A,9000.0,6.17,0,0.04,0,4
25,200000.0,RENT,5,EDUCATION,D,18000.0,16.32,0,0.09,0,3
25,200000.0,MORTGAGE,2,VENTURE,B,12000.0,10.38,0,0.06,0,2
25,200000.0,MORTGAGE,9,PERSONAL,C,23050.0,14.35,0,0.12,0,3
24,200000.0,MORTGAGE,8,DEBTCONSOLIDATION,B,20000.0,10.99,0,0.1,0,3
24,60000.0,RENT,2,DEBTCONSOLIDATION,E,25000.0,16.82,1,0.42,1,2
21,14400.0,OWN,0,HOMEIMPROVEMENT,B,3000.0,10.99,1,0.21,0,4
26,66996.0,RENT,10,PERSONAL,D,25000.0,15.21,1,0.37,1,2
23,67000.0,RENT,3,EDUCATION,A,25000.0,7.9,1,0.37,0,4
24,67000.0,RENT,2,VENTURE,B,25000.0,10.99,1,0.37,0,3
24,68000.0,RENT,5,PERSONAL,D,25000.0,14.09,1,0.37,1,3
25,69000.0,RENT,9,PERSONAL,D,25000.0,17.49,1,0.36,0,2
25,200000.0,MORTGAGE,0,EDUCATION,B,12000.0,11.48,0,0.06,0,3
26,188000.0,MORTGAGE,10,VENTURE,E,20000.0,17.74,1,0.11,0,2
26,200000.0,MORTGAGE,4,PERSONAL,C,3000.0,13.92,0,0.01,0,3
25,69996.0,RENT,9,EDUCATION,D,25000.0,15.21,1,0.36,0,3
22,14400.0,OWN,2,MEDICAL,B,4000.0,10.99,1,0.28,0,3
24,70000.0,RENT,3,EDUCATION,B,25000.0,11.86,1,0.36,0,4
24,14400.0,OWN,5,PERSONAL,A,6000.0,7.49,1,0.42,0,3
24,56100.0,RENT,7,MEDICAL,D,25000.0,16.49,1,0.38,0,4
25,66000.0,RENT,9,VENTURE,D,25000.0,15.33,1,0.38,1,2
26,66000.0,RENT,3,HOMEIMPROVEMENT,B,25000.0,11.58,1,0.38,0,4
25,14400.0,OWN,7,EDUCATION,A,5375.0,5.79,1,0.37,0,2
25,72612.0,RENT,9,MEDICAL,C,25000.0,13.11,1,0.34,0,2
23,74000.0,RENT,3,MEDICAL,B,25000.0,10.36,1,0.34,0,3
25,75000.0,RENT,9,DEBTCONSOLIDATION,B,25000.0,10.36,1,0.33,0,2
24,192000.0,RENT,0,MEDICAL,C,22000.0,13.48,0,0.11,1,2
21,192000.0,MORTGAGE,10,VENTURE,A,20000.0,6.54,0,0.1,0,4
25,191000.0,MORTGAGE,1,MEDICAL,B,10000.0,12.53,0,0.05,0,4
26,190300.0,MORTGAGE,5,PERSONAL,A,15000.0,7.49,0,0.08,0,3
22,190000.0,MORTGAGE,3,VENTURE,C,10000.0,13.48,0,0.05,0,3
24,75000.0,RENT,4,EDUCATION,B,25000.0,10.25,1,0.33,0,4
22,71000.0,RENT,1,EDUCATION,D,25000.0,15.95,1,0.35,1,4
26,190000.0,MORTGAGE,3,VENTURE,B,20000.0,12.18,0,0.11,0,4
23,189996.0,OWN,0,PERSONAL,B,24000.0,11.83,0,0.13,0,3
23,78000.0,RENT,7,DEBTCONSOLIDATION,C,25000.0,13.48,1,0.32,1,2
23,78000.0,RENT,1,VENTURE,B,25000.0,10.62,1,0.32,0,3
23,78504.0,RENT,7,VENTURE,B,25000.0,10.74,1,0.32,0,3
25,186000.0,OWN,9,VENTURE,B,10000.0,10.25,0,0.05,0,4
24,185000.0,MORTGAGE,4,EDUCATION,B,29800.0,12.42,0,0.19,0,2
25,185000.0,RENT,6,VENTURE,C,15000.0,15.27,0,0.08,0,2
24,62050.0,RENT,8,MEDICAL,D,25000.0,15.33,1,0.34,1,2
23,79416.0,RENT,7,VENTURE,D,25000.0,15.21,1,0.31,1,2
21,14400.0,OWN,4,VENTURE,C,6250.0,14.72,1,0.43,0,2
24,79631.0,RENT,8,PERSONAL,D,25000.0,15.7,1,0.31,1,2
24,79632.0,RENT,0,EDUCATION,C,25000.0,13.35,1,0.31,0,4
21,14400.0,MORTGAGE,0,MEDICAL,C,1500.0,13.48,0,0.1,0,4
24,80000.0,RENT,6,EDUCATION,A,25000.0,6.62,1,0.31,0,2
26,80000.0,RENT,5,DEBTCONSOLIDATION,C,25000.0,13.61,1,0.31,0,4
22,185000.0,RENT,4,MEDICAL,B,25000.0,11.36,0,0.14,0,2
26,185000.0,OWN,10,PERSONAL,A,5000.0,7.68,0,0.03,0,2
24,184992.0,RENT,7,HOMEIMPROVEMENT,D,22000.0,14.46,0,0.12,1,4
23,184000.0,OWN,5,EDUCATION,B,2500.0,11.83,0,0.01,0,2
24,172000.0,MORTGAGE,6,DEBTCONSOLIDATION,C,20000.0,13.47,1,0.12,1,4
24,183000.0,MORTGAGE,2,MEDICAL,B,20000.0,11.49,0,0.11,0,3
22,183000.0,MORTGAGE,3,EDUCATION,A,1000.0,7.49,0,0.01,0,2
25,182952.0,MORTGAGE,9,PERSONAL,A,15000.0,6.03,0,0.08,0,3
23,74004.0,RENT,7,DEBTCONSOLIDATION,E,25000.0,16.35,1,0.34,0,4
26,74004.0,RENT,10,DEBTCONSOLIDATION,D,25000.0,15.31,1,0.34,1,4
25,81000.0,RENT,5,DEBTCONSOLIDATION,A,25000.0,7.29,1,0.31,0,3
23,81600.0,RENT,1,MEDICAL,B,25000.0,11.36,1,0.31,0,3
24,82000.0,RENT,8,VENTURE,B,25000.0,10.25,0,0.3,0,2
24,83000.0,RENT,5,EDUCATION,B,25000.0,11.12,0,0.3,0,3
24,83000.0,RENT,5,PERSONAL,D,25000.0,12.92,0,0.3,1,3
24,180000.0,RENT,8,EDUCATION,E,18000.0,18.64,0,0.1,1,4
23,180000.0,MORTGAGE,8,PERSONAL,A,28000.0,7.51,0,0.16,0,3
23,14400.0,OWN,2,HOMEIMPROVEMENT,E,4000.0,16.7,1,0.28,0,2
22,14400.0,OWN,0,PERSONAL,B,2100.0,11.14,0,0.15,0,4
22,84500.0,RENT,6,PERSONAL,F,25000.0,18.3,0,0.3,0,4
24,85000.0,RENT,5,MEDICAL,B,25000.0,10.62,0,0.29,0,4
24,180000.0,MORTGAGE,7,VENTURE,B,14000.0,11.99,0,0.08,0,2
26,180000.0,MORTGAGE,2,VENTURE,B,12000.0,9.63,0,0.07,0,4
25,142800.0,MORTGAGE,9,MEDICAL,F,10000.0,18.25,1,0.06,0,4
23,14664.0,MORTGAGE,0,DEBTCONSOLIDATION,C,6000.0,13.48,1,0.41,0,4
24,87000.0,RENT,8,HOMEIMPROVEMENT,D,25000.0,14.84,0,0.29,0,3
24,75000.0,RENT,0,VENTURE,E,25000.0,14.7,1,0.33,1,3
23,76000.0,RENT,7,DEBTCONSOLIDATION,D,25000.0,16.02,1,0.33,0,4
23,66215.0,RENT,1,MEDICAL,D,25000.0,15.37,1,0.32,1,2
25,90000.0,RENT,9,MEDICAL,B,25000.0,10.99,0,0.28,0,4
21,15000.0,OWN,0,HOMEIMPROVEMENT,A,6200.0,7.9,1,0.41,0,2
26,180000.0,OWN,2,PERSONAL,B,25000.0,10.99,0,0.14,0,4
24,180000.0,OWN,8,EDUCATION,B,21000.0,11.48,0,0.12,0,3
25,180000.0,OWN,9,MEDICAL,C,20000.0,14.26,0,0.11,1,4
26,180000.0,OWN,0,HOMEIMPROVEMENT,A,10000.0,8.0,0,0.06,0,4
25,180000.0,MORTGAGE,3,VENTURE,B,9950.0,11.26,0,0.06,0,2
23,15000.0,OWN,7,MEDICAL,B,4475.0,10.99,1,0.3,0,4
23,78000.0,RENT,2,VENTURE,D,25000.0,16.32,1,0.32,1,3
25,66300.0,RENT,3,MEDICAL,E,25000.0,17.93,1,0.32,1,4
23,90000.0,RENT,0,DEBTCONSOLIDATION,B,25000.0,11.36,0,0.28,0,3
24,79000.0,RENT,9,DEBTCONSOLIDATION,D,25000.0,14.96,1,0.32,1,4
24,91800.0,RENT,4,PERSONAL,C,25000.0,13.43,0,0.27,1,3
25,92000.0,RENT,6,HOMEIMPROVEMENT,B,25000.0,12.69,0,0.27,0,3
24,92000.0,RENT,1,VENTURE,C,25000.0,12.73,0,0.27,1,4
23,93600.0,RENT,3,VENTURE,D,25000.0,15.21,0,0.27,0,4
23,15000.0,MORTGAGE,1,MEDICAL,C,1750.0,12.68,0,0.12,1,3
23,70550.0,RENT,3,MEDICAL,F,25000.0,19.04,1,0.3,1,4
25,83800.0,RENT,2,DEBTCONSOLIDATION,D,25000.0,15.95,1,0.3,1,3
26,175000.0,MORTGAGE,3,VENTURE,A,2600.0,8.9,0,0.01,0,4
25,175000.0,MORTGAGE,10,HOMEIMPROVEMENT,A,8000.0,7.9,0,0.05,0,2
22,175000.0,MORTGAGE,6,EDUCATION,B,18000.0,10.99,0,0.1,0,2
23,175000.0,MORTGAGE,8,PERSONAL,B,21000.0,11.99,0,0.12,0,3
23,15000.0,OWN,4,DEBTCONSOLIDATION,C,4000.0,13.98,1,0.27,0,4
23,15000.0,OWN,4,VENTURE,B,4600.0,10.99,1,0.31,0,2
22,88000.0,RENT,6,DEBTCONSOLIDATION,D,25000.0,15.58,1,0.28,1,2
25,74800.0,RENT,2,MEDICAL,B,25000.0,10.99,1,0.28,0,2
25,88000.0,RENT,0,VENTURE,D,25000.0,14.96,1,0.28,0,4
25,15000.0,OWN,2,HOMEIMPROVEMENT,D,1750.0,15.31,0,0.12,1,4
26,88000.0,RENT,2,VENTURE,D,25000.0,15.65,1,0.28,0,3
25,100000.0,RENT,1,VENTURE,B,25000.0,9.33,0,0.25,0,4
23,15000.0,MORTGAGE,0,PERSONAL,C,3600.0,13.47,1,0.24,0,4
24,102400.0,RENT,8,PERSONAL,B,25000.0,10.36,0,0.24,0,3
24,92000.0,RENT,1,HOMEIMPROVEMENT,E,25000.0,16.77,1,0.27,1,4
23,93000.0,RENT,0,DEBTCONSOLIDATION,D,25000.0,14.59,1,0.27,1,2
22,175000.0,RENT,6,VENTURE,C,3500.0,11.91,0,0.02,1,2
23,175000.0,MORTGAGE,3,EDUCATION,A,7200.0,8.38,0,0.04,0,3
25,174708.0,RENT,9,VENTURE,B,9000.0,10.59,0,0.05,0,3
25,174000.0,MORTGAGE,2,DEBTCONSOLIDATION,C,8800.0,14.27,0,0.05,0,3
26,174000.0,RENT,8,DEBTCONSOLIDATION,B,12000.0,12.53,0,0.07,0,4
25,162000.0,MORTGAGE,5,DEBTCONSOLIDATION,E,25000.0,16.0,1,0.15,1,3
26,173467.0,MORTGAGE,10,VENTURE,B,10000.0,11.71,0,0.06,0,4
21,15000.0,OWN,0,HOMEIMPROVEMENT,C,3175.0,11.54,1,0.21,1,3
25,96000.0,RENT,2,HOMEIMPROVEMENT,E,25000.0,15.68,1,0.26,1,4
21,15120.0,MORTGAGE,0,EDUCATION,B,1500.0,10.59,0,0.1,0,2
24,97908.0,RENT,8,HOMEIMPROVEMENT,D,25000.0,12.61,1,0.26,1,2
26,110000.0,RENT,3,PERSONAL,C,25000.0,13.48,0,0.23,1,2
23,15204.0,MORTGAGE,7,PERSONAL,A,2800.0,8.49,1,0.18,0,3
25,159600.0,RENT,0,PERSONAL,D,29800.0,17.27,1,0.19,1,4
24,171500.0,RENT,6,DEBTCONSOLIDATION,A,18000.0,8.9,0,0.1,0,4
25,170004.0,MORTGAGE,3,MEDICAL,B,10000.0,11.11,0,0.06,0,4
24,158004.0,RENT,0,HOMEIMPROVEMENT,D,25000.0,14.59,1,0.16,1,2
26,170000.0,RENT,0,VENTURE,B,13000.0,12.42,0,0.08,0,3
24,83300.0,RENT,0,MEDICAL,D,25000.0,15.31,1,0.26,0,2
24,110000.0,RENT,7,HOMEIMPROVEMENT,D,25000.0,15.7,0,0.23,1,2
